id	subject	item	tasktype	translation_type	len_sl_chr	len_tl_chr	len_sl_wrd	len_tl_wrd	edit_time	k_total	k_letter	k_digit	k_white	k_symbol	k_nav	k_erase	k_copy	k_cut	k_paste	k_do	np_300	lp_300	np_1000	lp_1000	ev_time_ms	num_annotations
wbreaker-029-mt2-3	T5	wbreaker-0293	mt2	pe	12	13	3	2	33.565	70	17	0	0	0	34	19	0	0	0	0	10	9033	3	4758	33565	4
wbreaker-029-mt2-4	T5	wbreaker-0294	mt2	pe	39	34	7	7	8.655	3	2	0	1	0	0	0	0	0	0	0	2	3518	1	2943	8655	1
wbreaker-029-mt2-5	T5	wbreaker-0295	mt2	pe	31	49	8	12	21.463	97	29	0	9	0	31	28	0	0	0	0	12	13930	3	9590	21463	1
wbreaker-029-mt2-6	T5	wbreaker-0296	mt2	pe	46	45	9	9	24.898	12	6	0	0	0	0	6	0	0	0	0	5	9120	1	7490	24898	1
wbreaker-029-mt2-7	T5	wbreaker-0297	mt2	pe	53	48	10	9	40.896	158	39	0	8	0	53	58	0	0	0	0	24	28307	5	19934	40896	1
wbreaker-029-mt2-8	T5	wbreaker-0298	mt2	pe	64	94	10	19	90.348	173	33	0	5	0	97	38	0	0	0	0	21	77391	8	70893	90348	1
wbreaker-029-mt2-9	T5	wbreaker-0299	mt2	pe	87	102	14	19	106.234	231	47	0	8	1	126	49	0	0	0	0	42	88172	15	74533	106234	1
wbreaker-029-mt2-10	T5	wbreaker-02910	mt2	pe	105	118	22	21	77.205	167	53	0	7	0	46	61	0	0	0	0	34	57806	9	45249	77205	1
wbreaker-030-ht-1	T5	wbreaker-0301	ht	ht	20	21	4	4	14.4	27	19	0	4	1	0	3	0	0	0	0	11	8022	2	2737	14400	1
wbreaker-030-ht-2	T5	wbreaker-0302	ht	ht	46	74	7	12	62.076	150	62	0	11	2	74	1	0	0	0	0	23	44309	6	35607	62076	1
wbreaker-030-ht-3	T5	wbreaker-0303	ht	ht	127	148	26	28	163.134	362	158	0	38	5	110	51	0	0	0	0	97	127016	28	92254	163134	2
wbreaker-030-ht-4	T5	wbreaker-0304	ht	ht	85	103	18	17	197.392	411	140	0	29	3	167	67	0	1	1	3	68	154157	26	132886	197392	3
wbreaker-030-ht-5	T5	wbreaker-0305	ht	ht	114	127	22	23	106.271	156	116	0	22	3	1	14	0	0	0	0	49	58143	11	39029	106271	2
wbreaker-030-ht-6	T5	wbreaker-0306	ht	ht	33	38	5	6	16.537	38	32	0	5	1	0	0	0	0	0	0	7	7773	3	5839	16537	1
wbreaker-030-ht-7	T5	wbreaker-0307	ht	ht	79	101	14	19	119.141	621	119	0	30	7	411	54	0	0	0	0	45	83025	18	69141	119141	2
wbreaker-030-ht-8	T5	wbreaker-0308	ht	ht	115	147	21	25	151.626	202	122	0	25	3	50	2	0	0	0	0	35	130788	15	119563	151626	1
wbreaker-030-ht-9	T5	wbreaker-0309	ht	ht	98	134	16	22	123.476	308	125	0	22	1	146	14	0	0	0	0	36	90807	12	77982	123476	2
wbreaker-030-ht-10	T5	wbreaker-03010	ht	ht	51	55	9	9	76.88	125	47	0	10	4	58	6	0	0	0	0	23	49315	9	42285	76880	2
wbreaker-031-mt1-1	T5	wbreaker-0311	mt1	pe	49	55	9	10	63.075	159	11	0	1	2	127	18	0	0	0	0	11	45075	6	42472	63075	2
wbreaker-031-mt1-2	T5	wbreaker-0312	mt1	pe	69	88	11	15	49.127	136	24	0	4	0	77	31	0	0	0	0	21	41961	8	35894	49127	1
wbreaker-031-mt1-3	T5	wbreaker-0313	mt1	pe	75	82	14	15	58.75	144	14	0	3	0	104	23	0	0	0	0	13	52015	6	48213	58750	1
wbreaker-031-mt1-4	T5	wbreaker-0314	mt1	pe	108	114	21	21	65.734	226	24	0	2	3	172	25	0	0	0	0	25	48904	7	40044	65734	2
wbreaker-031-mt1-5	T5	wbreaker-0315	mt1	pe	75	87	15	18	109.918	199	58	0	7	4	70	60	0	0	0	0	42	94936	16	83716	109918	1
wbreaker-031-mt1-6	T5	wbreaker-0316	mt1	pe	57	76	10	14	57.581	110	28	0	5	0	58	19	0	0	0	0	13	45979	2	39907	57581	1
wbreaker-031-mt1-7	T5	wbreaker-0317	mt1	pe	35	36	7	6	20.084	48	14	0	1	0	7	26	0	0	0	0	8	15268	1	11359	20084	1
wbreaker-031-mt1-8	T5	wbreaker-0318	mt1	pe	59	64	10	11	53.037	107	5	0	1	1	76	14	0	0	0	10	23	45104	9	38297	53037	2
